
Avg Reward: 55.047, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 55.517, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 52.692, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 46.445, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 12.678, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 55.338, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 26.468, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 47.721, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 46.355, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 47.764, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 51.971, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 0.590, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 54.701, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 58.182, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 46.235, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 54.505, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 52.858, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 48.798, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 46.945, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 47.091, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 25.279, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 56.045, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 52.421, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 53.500, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 0.638, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 60.000, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 25.039, Avg Accuracy: 0.000, Best Reward: 0.000
Avg Reward: 54.042, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: 54.700, Avg Accuracy: 1.000, Best Reward: 0.000
Avg Reward: nan, Avg Accuracy: 0.000, Best Reward: 0.000
